allocation_id,project_id,employee_id,allocation_percentage
16b1f98e-ae06-4b81-b49a-4b8b2ba2e621,e863ec29-7df8-4fcc-a041-4384f6223cef,f2a070d8-6719-4707-b18f-73ae44b48e8c,25
888520ef-b7cc-4f72-809f-ea7cc0cdeea4,e863ec29-7df8-4fcc-a041-4384f6223cef,5ade2d26-93f4-4ea2-a3c0-8219abe31299,50
03699794-0c67-45ec-9bb5-45747ed6f934,e863ec29-7df8-4fcc-a041-4384f6223cef,f9a06018-e5c1-48ec-b334-7877bfb5e6e3,100
827d13e1-5c38-4821-a302-8cc05eff65d7,e863ec29-7df8-4fcc-a041-4384f6223cef,05b9cd17-228a-495f-bc26-7f8aed5d9e3f,100
b66e71e3-4048-4063-b5a0-c629ea3e0567,e863ec29-7df8-4fcc-a041-4384f6223cef,62f93265-40b5-415d-ba28-5bd46c5169f9,50
01760dd9-d7a6-438b-95e0-29b5e24c5cd6,e863ec29-7df8-4fcc-a041-4384f6223cef,9b937a1c-76b5-420d-8c14-2b22501d469c,100
23dc4119-46ff-4f67-abf0-b4963b1e4f3f,8132e2d5-b4ae-4a9e-902f-8ea807ac7543,6a5683f9-251f-44f5-acf2-11019f73b618,50
7468d9f8-8f47-4fa2-8de2-20a0c5408bee,8132e2d5-b4ae-4a9e-902f-8ea807ac7543,14ead632-f361-433e-bea2-6e2c204f7ca3,100
23455900-2695-4556-8752-57971f2a654a,030bdacb-9f9a-4681-9a66-7a4e6e95a2f3,1ee92544-7a79-4e86-ae26-d1b9e80f36b4,25
c35d3f55-d8c4-42dd-a395-82368709571a,030bdacb-9f9a-4681-9a66-7a4e6e95a2f3,8f8863a6-0ca8-4984-8688-b5f2dc5e8ef8,25
044f2f13-573e-4719-a88d-b92c65b8ef68,134e866f-a417-49bc-8ee4-82811ecbbaca,1741b5f7-84f8-4e1c-aadd-c53f5d5680d5,75
14d3a70f-f127-4fb9-a95b-43247cef594b,134e866f-a417-49bc-8ee4-82811ecbbaca,a7ceb559-ecd6-402e-9afa-708196d40cfa,75
5d87c1ba-5348-4a19-b028-b0a140b5ce6b,134e866f-a417-49bc-8ee4-82811ecbbaca,99f46ada-25e5-45f8-915a-ca17a9706b68,50
a945f070-cafd-4fc7-9d69-4f1b69818ee7,134e866f-a417-49bc-8ee4-82811ecbbaca,05b9cd17-228a-495f-bc26-7f8aed5d9e3f,50
69e5cf92-14b4-4b9f-9220-18582799979e,4ea73494-57f8-4629-8c31-fc82e5bb03c2,8adc93c5-1e93-43d8-a5bc-416e007f768d,25
bf733f1c-e165-486e-8f2b-1cdcb080c9a6,4ea73494-57f8-4629-8c31-fc82e5bb03c2,b1f8b714-b2d0-4930-ba57-a30e63a8cd50,100
635eead9-1a7a-432b-800e-d6bccfc05ccb,4ea73494-57f8-4629-8c31-fc82e5bb03c2,9b937a1c-76b5-420d-8c14-2b22501d469c,100
a9bf0aa2-a6fe-4290-98fe-2e2832568b1b,4ea73494-57f8-4629-8c31-fc82e5bb03c2,be9ff5c3-b535-4cf6-8506-837284a1fe42,100
b9a482c4-92cc-4a97-bb10-627a7c77cebe,4ea73494-57f8-4629-8c31-fc82e5bb03c2,1741b5f7-84f8-4e1c-aadd-c53f5d5680d5,25
37523daa-e9e2-4ad0-91c5-c2fa2d11497c,f06f0855-3bcc-44ab-80dd-75f8534cca58,ed3c7a90-0553-4651-9bfe-c48509de4246,75
cf1dd43b-1962-421b-8bd3-30005bb23c2d,f06f0855-3bcc-44ab-80dd-75f8534cca58,38f984a1-6209-4b00-a68f-bfbc6c94e221,25
3d4add2a-cc52-489f-97f7-54b43e791ab4,f06f0855-3bcc-44ab-80dd-75f8534cca58,62f93265-40b5-415d-ba28-5bd46c5169f9,100
79be5d82-f178-4180-b68c-128022ccf51c,1b33abff-ea87-41e6-bd3b-b9b02116c51b,c2f4ed31-38d9-493b-8300-5cf5b827463c,50
77194c90-3613-4088-8b0e-08e272992599,1b33abff-ea87-41e6-bd3b-b9b02116c51b,6a5683f9-251f-44f5-acf2-11019f73b618,50
f13a9866-c362-4907-863f-e5633810370c,bc724ea2-389c-4113-a639-ce13f6c99459,f9a06018-e5c1-48ec-b334-7877bfb5e6e3,75
38f9e801-c4dd-4e73-b700-0a7fd8ddad7e,bc724ea2-389c-4113-a639-ce13f6c99459,c3576637-43e1-4d92-800a-a166a1745e98,75
7bb740ee-81a0-42a3-b9c0-99e56817d0d1,bc724ea2-389c-4113-a639-ce13f6c99459,1ee92544-7a79-4e86-ae26-d1b9e80f36b4,25
b8992187-609b-4a2a-96d9-2ff38ea53863,80d6d7f6-2b29-445f-a9f7-d08a4eec3ffb,f2a070d8-6719-4707-b18f-73ae44b48e8c,25
4431800e-2e61-4bf3-bc53-c8e5cd6b76d1,80d6d7f6-2b29-445f-a9f7-d08a4eec3ffb,9b937a1c-76b5-420d-8c14-2b22501d469c,50
44f6a27b-4d54-48ef-bcf3-5b5c924ab486,80d6d7f6-2b29-445f-a9f7-d08a4eec3ffb,108016c2-6025-44bc-b23c-414b65d30e1a,50
6f7570c8-d54a-4f20-9d6d-57817b6301b2,2479e396-28ff-4752-8e73-50ce6d4ee03b,9e90c68d-9f47-46c5-9233-ad5cdea40519,100
9ce357e5-e12b-4ca8-a77c-62d5f3351675,2479e396-28ff-4752-8e73-50ce6d4ee03b,a7ceb559-ecd6-402e-9afa-708196d40cfa,50
d87148e7-e9f4-49ed-a63f-f166cb5fe551,62ac01c3-2056-46f0-9dce-e0dd70bbc7fb,b1f8b714-b2d0-4930-ba57-a30e63a8cd50,25
ddd827cd-fdfb-4080-8163-459f9acb0f08,62ac01c3-2056-46f0-9dce-e0dd70bbc7fb,b155fec3-0541-48ee-abc5-e43ce6c505c0,100
46a16c46-91a4-4830-9562-c3cf0b328551,62ac01c3-2056-46f0-9dce-e0dd70bbc7fb,14ead632-f361-433e-bea2-6e2c204f7ca3,25
f5a1f8a6-b441-4e02-82c4-99eed92cff0a,6b4fe602-28b0-4bf9-b322-b53da7d6691a,ff49ceeb-2fa0-49dd-947d-609dca20ce38,75
fb6c5148-51a9-4e06-a68b-628d935a2e02,6b4fe602-28b0-4bf9-b322-b53da7d6691a,0bb205e5-ff0f-48fc-8d6a-45e6ef9e36a4,25
9766e9fd-40bf-406c-865f-347dcc36100e,6b4fe602-28b0-4bf9-b322-b53da7d6691a,ff6ccee1-9eaf-424c-b8da-cfcd4124973f,25
178e3c99-fb03-4bee-af43-788e52628a38,fa8e6241-8ca4-43bf-945c-85906f5cf73e,ff49ceeb-2fa0-49dd-947d-609dca20ce38,75
3505283f-fd08-4a76-a77f-02526e47fe16,fa8e6241-8ca4-43bf-945c-85906f5cf73e,da06e88c-531a-4524-92b3-32c8dc780faa,100
bfff3ef8-b3d4-4c48-9ab0-8700099bdd92,5fd015e7-f5ff-4915-8af8-66d42fbf99ff,9e90c68d-9f47-46c5-9233-ad5cdea40519,100
45dd4c79-b88f-477d-abb0-789ac561b81c,5fd015e7-f5ff-4915-8af8-66d42fbf99ff,666b2f51-607f-4f8d-b264-04ead28bad6b,75
8b1a3807-4d14-436c-a9f4-7dab48edd12a,5fd015e7-f5ff-4915-8af8-66d42fbf99ff,9f073892-328c-463d-9541-4bfa26f8ff18,25
7019b385-8609-4c4c-b0df-99c545cd0769,5fd015e7-f5ff-4915-8af8-66d42fbf99ff,1e5ac031-cf45-4231-80a5-e0526cfd9da4,75
d29f0171-621f-4181-8da8-5179457fdbda,5fd015e7-f5ff-4915-8af8-66d42fbf99ff,c13bed34-ae80-4725-8186-52d4c9f86dd9,75
b832e6de-5b9a-45ab-a7de-902d7af390bc,3ee177df-aec5-4d5a-9333-534a646e9dd6,9e90c68d-9f47-46c5-9233-ad5cdea40519,100
eae805b0-eab1-4be8-b10d-310b8050769f,3ee177df-aec5-4d5a-9333-534a646e9dd6,c3c48409-68cf-47df-81d8-047ee10c31f5,100
88228198-a602-4b17-ba74-8cc82245f1b7,3ee177df-aec5-4d5a-9333-534a646e9dd6,108016c2-6025-44bc-b23c-414b65d30e1a,50
4f74765d-d7ae-480f-9232-0a57939a5963,3ee177df-aec5-4d5a-9333-534a646e9dd6,666b2f51-607f-4f8d-b264-04ead28bad6b,100
aa44bbd5-7fba-48ce-bf91-50938236372f,3ee177df-aec5-4d5a-9333-534a646e9dd6,da06e88c-531a-4524-92b3-32c8dc780faa,25
3eeefff2-9daf-429c-84f1-d70632b04cc7,3ee177df-aec5-4d5a-9333-534a646e9dd6,25fea942-e0d4-414b-8196-5359aec5da1b,100
5607a767-53b3-4f76-a990-d83ad4551ddc,fd971159-69ac-4ae8-afac-0fe3f2d1613a,b1f8b714-b2d0-4930-ba57-a30e63a8cd50,50
59190a32-bc99-4ac7-ac3c-465e6d2b4d67,fd971159-69ac-4ae8-afac-0fe3f2d1613a,ed3c7a90-0553-4651-9bfe-c48509de4246,100
250d2d52-b74a-4a85-8be6-01f2871c1c2e,fd971159-69ac-4ae8-afac-0fe3f2d1613a,8adc93c5-1e93-43d8-a5bc-416e007f768d,50
e1e659ae-555d-43aa-8380-96a2cd8b9b0a,fd971159-69ac-4ae8-afac-0fe3f2d1613a,25fea942-e0d4-414b-8196-5359aec5da1b,25
0818d2cd-67fb-46e5-a0ff-12a45d513842,fd971159-69ac-4ae8-afac-0fe3f2d1613a,9f073892-328c-463d-9541-4bfa26f8ff18,25
64c09f9d-3fcb-45b0-8634-e5ca295f2339,fd971159-69ac-4ae8-afac-0fe3f2d1613a,62f93265-40b5-415d-ba28-5bd46c5169f9,25
ba732973-56aa-4678-a6be-543cedd8f5ce,01b9ab79-a124-42de-b22a-02d20fde61db,75eb171e-92d6-4886-9260-108fb14679c5,75
6cf84ba2-4e79-4433-b74a-9eb7184dd733,01b9ab79-a124-42de-b22a-02d20fde61db,ff6ccee1-9eaf-424c-b8da-cfcd4124973f,50
8ec47a09-4347-43f4-9451-e55833f0aec3,1f167794-db74-4c56-bd04-21ae948a1486,14ead632-f361-433e-bea2-6e2c204f7ca3,25
56fd4aab-40bf-407e-b927-73a2c0870b64,1f167794-db74-4c56-bd04-21ae948a1486,75eb171e-92d6-4886-9260-108fb14679c5,75
4ea03265-1316-496f-8f1a-f44dc4f0971d,1f167794-db74-4c56-bd04-21ae948a1486,c13bed34-ae80-4725-8186-52d4c9f86dd9,100
489fe0ff-1f9d-4645-896b-f498bd24f7b9,1f167794-db74-4c56-bd04-21ae948a1486,c3c48409-68cf-47df-81d8-047ee10c31f5,25
4610c2c6-d0e3-432e-b464-2859c7c6ac22,3e7a362f-ba69-45cb-ad87-7241e6b40f3f,b155fec3-0541-48ee-abc5-e43ce6c505c0,50
78a8a43c-0f50-4680-b253-d502903c5f45,3e7a362f-ba69-45cb-ad87-7241e6b40f3f,7f952821-d6e0-47cd-b2c6-6903c55c20cf,50
dd5e5942-e737-4154-9569-486d9359eb59,3e7a362f-ba69-45cb-ad87-7241e6b40f3f,108016c2-6025-44bc-b23c-414b65d30e1a,50
dd8aba78-4df5-4ca2-bd42-1d0b68151058,3e7a362f-ba69-45cb-ad87-7241e6b40f3f,ff49ceeb-2fa0-49dd-947d-609dca20ce38,25
b77c0807-508c-4ca7-a2b0-ee827d212fe4,3e7a362f-ba69-45cb-ad87-7241e6b40f3f,5900d9f9-ee29-497c-ba2c-aa886c1d0ff0,100
60b3b246-d2ae-4293-9d89-b83b0618f474,3e7a362f-ba69-45cb-ad87-7241e6b40f3f,c2f4ed31-38d9-493b-8300-5cf5b827463c,100
d4342592-06e9-41f3-a761-3b407255c3e9,cd919244-ecae-45f8-86a5-433c6842aef2,38f984a1-6209-4b00-a68f-bfbc6c94e221,50
5527c45c-4ba1-4d21-86ad-b2a0950d61cc,cd919244-ecae-45f8-86a5-433c6842aef2,1e5ac031-cf45-4231-80a5-e0526cfd9da4,25
78043b01-19e4-4c43-a5a9-7df76772d06a,cd919244-ecae-45f8-86a5-433c6842aef2,ed3c7a90-0553-4651-9bfe-c48509de4246,75
12a8659a-29e4-48c0-9817-2779cda5c392,cd919244-ecae-45f8-86a5-433c6842aef2,33f879f8-9a0b-4a0f-8864-9801bae9f6d9,75
